author_sex	past_tense	perfect_aspect	present_tense	place_adv	time_adv	pron_1st	pron_2nd	pron_3d	it	nominal	gerund	passives	there	that_compl	wh	inf	that_subj	that_obj	wh_subj	wh_obj	because	prep	adv	downtoners	hedges	discourse_part	modal	contract	phrase_coord	type_token	word_length
ALB	male	23.744	9.215	38.19	1.66	3.653	4.649	0.332	15.774	5.812	41.096	10.959	1.826	2.242	2.906	0.249	23.08	0.581	1.079	7.057	1.743	0.747	124.284	49.564	1.743	0.498	0.166	8.717	0.332	10.876	0.168	5.089
ALC	male	60.016	6.477	8.755	4.622	2.474	0.618	0.228	12.661	5.761	25.582	11.717	1.888	4.166	3.938	0.325	16.013	1.172	0.651	1.66	0.26	1.302	120	51.619	3.645	0.814	0.065	11.033	0.065	11.359	0.085	4.87
ALE	male	17.824	7.1	38.255	2.174	2.029	4.637	0	9.999	6.376	57.528	9.274	0.869	1.739	4.203	0.29	13.331	0	0.29	3.912	0.869	1.159	122.736	37.966	1.449	0.29	0.145	12.317	0	17.389	0.226	5.224
ALF	male	3.181	8.237	52.112	2.854	1.305	0	0	9.052	6.687	54.151	9.868	1.549	3.181	4.159	0.082	19.654	0.163	1.142	3.507	0.734	0.816	117.844	53.172	2.039	0.245	0	13.538	0	18.594	0.145	5.414
ALG	male	2.493	8.245	47.939	2.301	0.575	1.918	0	3.26	4.794	47.747	6.903	1.343	3.452	4.027	0.192	12.848	0.384	0.767	2.685	0.575	2.685	135.762	38.926	2.493	0	0	15.149	0	17.066	0.236	5.129
ALJ	male	82.481	10.634	17.102	6.002	5.361	6.497	6.147	61.679	11.654	6.672	13.956	0.961	3.525	1.69	0.554	11.042	0.641	0.117	0.466	0.087	0.146	77.383	60.309	2.156	1.165	0.874	10.955	7.313	5.419	0.128	4.367
ALK	male	68.367	6.324	14.06	3.084	5.279	6.429	0.732	47.198	4.809	20.542	10.401	2.352	1.568	3.763	0.523	18.137	0.732	1.725	2.091	0.261	0.836	118.074	53	2.561	0.784	0.209	5.749	1.045	9.565	0.14	4.721
ALL	male	60.681	5.621	23.378	6.409	3.385	8.112	4.556	26.295	6.771	9.028	12.328	0.703	3.023	1.192	0.192	6.771	1.959	0.405	0.873	0.106	0.17	100.688	46.82	1.469	0.468	0.788	6.026	8.219	8.112	0.136	4.477
ALS	male	54.9	6.573	30.93	4.639	7.153	15.852	8.506	29.577	8.119	5.606	9.666	0.58	2.32	2.706	0	10.052	0.387	0.387	0.387	0.773	0	76.938	64.373	1.74	0.387	1.74	8.699	13.338	5.219	0.215	4.395
ALT	male	60.693	5.819	7.884	3.316	7.008	1.815	0	29.158	4.192	17.144	8.197	2.128	1.251	3.003	0.063	11.888	1.189	1.314	1.815	0.375	0.375	127.143	41.86	1.564	0.25	0.25	5.256	0	15.768	0.164	4.927
ALU	female	46.126	9.327	19.893	3.279	4.809	6.801	1.433	26.354	4.251	19.043	8.331	1.603	1.895	3.012	0.291	11.635	0.194	0.802	1.336	0.559	0.583	129.73	41.559	1.53	0.437	0.34	7.287	0.632	10.663	0.12	4.834
ALX	male	55.398	5.595	19.123	5.457	4.402	17.06	3.99	26.002	3.852	9.814	16.234	0.733	0.734	2.935	0.504	12.611	0.55	0.78	0.917	0.183	0.183	101.073	34.44	1.055	0.183	0.275	7.338	0.138	8.255	0.143	4.754
ALY	male	61.134	7.093	3.819	3.224	4.291	0.223	0	17.46	4.216	16.84	7.614	1.736	1.091	2.232	0.05	11.929	0.422	0.521	2.257	0.198	0.223	135.86	35.565	1.24	0.372	0.422	1.81	0.223	6.721	0.117	4.805
AM4	male	39.025	8.041	27.729	3.693	4.895	2.251	0.503	4.676	8.172	30.875	9.811	1.617	1.726	5.768	0.197	12.258	0.787	1.158	1.53	0.306	0.852	110.281	41.516	2.36	0.459	0.393	10.248	0.656	9.308	0.11	4.961
AM6	male	15.592	5.658	52.327	2.328	3.384	13.102	1.408	17.893	9.691	28.586	15.782	1.435	2.572	4.413	0.46	18.922	1.218	0.92	2.409	0.893	1.029	113.505	48.402	2.22	0.325	0.596	14.213	0.487	7.119	0.102	4.762
AMB	male	81.596	9.043	30.52	6.519	5.205	19.453	11.12	45.162	14.116	4.942	17.192	0.71	2.103	0.71	1.025	16.351	0.657	0.105	0.499	0.105	1.262	76.654	59.541	2.05	0.605	0.631	13.064	17.323	5.731	0.061	4.178
AMC	female	63.005	12.08	18.992	3.854	5.62	40.611	3.574	18.497	7.601	16.128	9.108	1.099	2.369	5.038	0.452	14.599	0.301	1.378	1.701	0.754	0.711	103.551	58.44	2.562	0.775	0.345	9	3.273	6.611	0.129	4.508
AMG	male	8.95	4.381	60.224	1.578	3.015	5.676	0.283	11.517	4.781	44.915	13.543	1.743	1.554	4.31	0.094	10.646	3.839	0.919	0.989	0.33	0.73	131.66	51.698	1.978	0.188	0.047	10.434	0.118	8.22	0.1	5.212
AMK	male	17.92	7.711	46.75	3.242	2.454	2.235	0.438	11.195	9.42	36.651	9.289	1.556	2.695	5.674	0.372	14.24	0.153	1.906	2.278	0.613	0.964	118.277	45.939	2.454	0.197	0.153	11.041	0.11	8.61	0.104	5.072
AMM	male	15.084	6.962	55.264	3.526	5.028	2.434	0.137	13.401	4.823	13.901	9.078	2.616	2.616	2.252	0.205	9.192	2.98	0.774	1.001	0.159	0.956	113.644	55.036	3.117	0.978	0.023	8.099	0	6.188	0.093	5.053
AMS	male	8.89	4.515	68.164	5.399	3.374	3.421	0.279	10.123	8.564	14.894	6.865	1.908	2.281	3.095	0.326	12.171	4.282	0.908	0.582	0.256	1.838	110.286	65.604	3.258	0.768	0.303	10.217	0	7.424	0.092	4.817
AMT	male	10.617	5.539	64.462	3.557	1.955	13.414	1.575	16.265	10.834	28.131	8.988	1.304	3.856	9.368	0.244	17.65	1.874	3.448	2.036	1.358	1.032	116.107	42.875	1.955	0.136	0.081	18.111	1.059	6.734	0.078	4.653
AMU	male	75.916	10.478	14.902	6.367	2.77	5.384	5.853	56.211	7.149	8.356	18.029	0.335	1.966	2.591	0.134	11.037	0.916	0.737	0.268	0.223	0.469	98.235	47.475	1.988	0.938	0.581	9.204	8.11	4.781	0.09	4.324
AN0	male	54.552	11.74	26.213	5.111	4.605	0.835	0.405	19.28	9.741	23.759	10.551	2.1	1.847	5.086	0.481	17.256	1.366	2.581	2.404	1.063	1.721	113.177	55.615	1.619	0.253	0.076	8.425	0.481	6.528	0.115	4.819
AN2	male	9.663	6.642	68.398	1.849	4.272	22.556	10.471	2.917	10.393	10.288	12.659	1.458	2.318	1.615	0.208	14.43	0.339	0.625	2.058	0.391	0.339	80.041	46.102	1.875	0.13	0.313	20.499	1.328	6.407	0.09	4.29
AN3	female	17.964	9.788	50.19	2.021	2.226	0.25	0	11.832	5.541	43.127	9.47	1.454	1.885	3.793	0.341	11.264	2.021	1.431	1.999	0.341	2.203	125.429	39.425	1.703	0.136	0.091	6.746	0.023	11.696	0.088	5.156
AN4	male	24.301	5.608	50.568	1.773	3.355	6.998	2.732	29.382	5.864	19.54	7.653	1.422	2.125	5.001	0.208	11.695	0.591	1.054	2.285	1.054	0.447	106.377	42.803	2.253	0.575	0.272	10.034	5.129	5.944	0.103	4.725
AN7	female	83.417	11.011	33.137	5.109	6.361	22.794	15.182	50.926	11.783	4.296	10.948	0.646	2.398	1.626	0.438	10.114	1.043	0.313	1.105	0.334	0.25	66.629	70.341	1.731	0.584	0.918	11.887	24.921	4.713	0.075	4.197
AN8	female	43.804	10.164	50.292	3.412	6.007	30.372	19.824	41.065	13.889	12.903	9.732	0.649	1.922	2.62	0.649	16.556	1.538	0.817	1.658	0.24	1.225	78.55	66.271	2.379	0.841	1.97	17.877	21.986	3.7	0.08	4.225
AN9	male	49.332	10.769	15.196	4.603	4.581	3.414	0.44	9.184	8.457	31.757	9.36	2.488	3.48	4.317	0.352	14.711	0.529	1.321	2.885	0.551	0.771	116.59	54.265	2.004	0.639	0.198	9.558	1.277	5.109	0.108	4.995
ANA	male	14.332	5.867	49.594	2.715	4.846	3.24	0.409	15.237	7.414	27.059	8.903	2.715	4.495	5.867	0.263	15.88	0.292	1.43	4.495	0.584	2.043	111.332	57.3	2.16	0.379	0.058	19.85	0.35	8.874	0.09	4.951
ANB	male	32.005	4.712	36.142	7.412	6.665	0.862	2.04	7.556	8.36	15.026	7.24	1.753	2.442	1.839	0.115	8.619	3.304	0.804	2.614	0.718	0.804	127.015	46.313	2.902	0.747	0.23	4.511	0	6.349	0.125	4.654
ANC	male	45.368	7.542	24.774	8.196	13.753	0.023	0	5.814	10.951	13.262	9.737	3.292	2.382	1.214	0.07	6.141	0.887	0.537	0.607	0.467	0.14	124.708	59.867	1.611	0.187	0.7	1.868	0.093	9.713	0.088	4.636
AND	male	6.62	3.057	61.57	2.153	1.409	3.217	5.476	11.086	5.343	31.503	19.859	1.516	5.53	4.253	0.266	22.623	2.871	2.472	1.887	0.425	0.319	110.618	44.768	1.462	0.585	0.133	15.765	4.892	17.679	0.098	4.874
ANF	female	67.779	6.999	19.719	2.315	4.364	8.835	3.3	48.033	5.003	10.804	9.234	0.905	1.304	4.151	0.346	15.195	0.373	1.198	1.73	0.426	0.585	100.91	51.786	2.661	0.985	0.293	7.319	3.459	10.166	0.122	4.639
ANH	male	4.246	1.954	69.372	1.563	1.172	8.701	0.208	18.313	15.187	58.535	12.166	1.719	2.605	8.232	0.365	24.123	0.729	2.787	4.064	0.755	1.876	114.231	42.306	3.048	0.208	0.026	18.6	0.208	6.539	0.068	4.853
ANJ	male	36.576	8.635	31.395	1.789	7.031	16.468	5.551	27.817	6.415	15.728	9.252	1.234	1.357	5.428	0.247	18.195	0.185	1.85	1.48	1.604	0.678	107.506	52.057	2.467	0.123	0.493	11.78	0.555	5.921	0.145	4.58
ANK	male	79.145	13.364	10.196	4.455	7.028	1.93	1.287	44.25	5.989	11.211	9.726	2.153	2.574	4.232	0.346	11.112	0.965	1.435	1.188	0.272	0.148	102.012	50.783	1.757	0.619	0.247	6.138	0.94	8.39	0.12	4.604
ANL	male	55.158	10.835	40.076	3.205	3.756	27.903	17.049	37.067	12.782	10.127	6.528	0.571	3.068	4.838	0.629	12.526	0.511	0.865	0.983	0.275	0.669	75.019	59.11	2.537	0.433	2.163	18.858	6.175	2.537	0.086	4.24
ANM	female	29.434	8.079	55.028	1.987	5.364	36.619	14.105	12.118	7.284	14.535	12.747	0.695	1.457	4.073	0.497	20.859	0.497	0.894	2.251	0.497	0.464	89.991	60.358	2.119	0.728	0.199	13.873	5.728	8.708	0.106	4.439
ANR	male	59.947	8.689	11.616	1.842	3.424	3.66	0.425	27.081	9.798	21.769	9.184	1.252	1.794	5.289	0.236	15.489	0.024	1.44	4.155	1.275	0.874	123.247	46.418	2.975	0.401	0.331	8.122	0.449	6.894	0.112	4.723
ANT	male	41.462	3.666	19.606	2.019	4.316	2.343	0.093	9.559	7.007	40.905	7.309	1.044	1.995	2.088	0.139	15.36	1.276	0.626	1.763	0.51	0.534	119.304	45.476	2.529	0.232	0.255	8.283	0.07	8.329	0.102	5.185
ANU	male	60.651	8.978	15.625	7.95	5.802	15.694	1.371	25.791	6.625	15.831	8.27	1.416	2.307	3.678	0.228	11.856	2.033	0.845	2.673	1.005	0.754	116.939	48.955	2.536	0.571	0.228	7.036	0.64	7.127	0.115	4.673
ANY	male	37.439	5.636	49.833	3.488	4.079	12.335	9.104	41.479	10.345	13.577	13.222	0.374	1.852	2.009	0.315	12.335	1.261	0.473	0.512	0.217	0.512	90.11	51.883	1.695	0.532	1.399	7.685	12.887	7.192	0.117	4.531
AP0	male	71.076	8.731	16.693	3.151	5.773	5.484	1.924	41.684	11.786	12.868	11.618	0.938	2.165	2.911	0.241	11.93	1.612	1.587	2.742	0.914	1.756	104.895	55.225	2.069	0.625	0.481	6.567	4.474	8.13	0.121	4.604
AP8	female	37.232	7.989	38.137	10.853	9.27	2.336	0.151	11.833	6.105	10.702	13.793	2.035	7.612	1.809	0	7.763	0.151	0.226	1.583	0.075	0.151	110.567	36.78	0.528	0.075	0.678	5.426	0.226	12.436	0.159	4.571
APC	male	45.709	9.45	43.088	4.496	4.881	37.342	6.516	22.29	10.844	10.315	10.652	0.769	2.909	1.346	0.289	10.387	0.962	0.409	1.875	0.433	0.529	96.684	53.019	1.587	0.409	1.178	7.094	8.824	5.41	0.121	4.334
APD	male	48.646	7.133	13.173	4.537	2.76	1.066	0.164	10.904	10.522	39.901	8.253	1.176	1.749	4.4	0.191	17.327	0.437	1.667	2.159	0.656	1.011	123.227	44.464	3.061	0.711	0.027	8.991	0.355	8.855	0.104	5.148
APH	male	18.864	6.063	42.526	0.939	2.246	3.552	0	5.206	6.023	46.201	9.779	1.694	1.797	7.165	0.347	15.108	3.654	2.736	0.225	0.061	0.755	116.492	41.158	2.123	0.225	0.102	17.966	0.02	6.451	0.052	5.158
APM	female	61.227	12.071	41.031	3.711	7.294	25.442	15.525	45.872	12.284	8.872	12.945	0.704	1.706	2.794	0.512	12.86	0.107	0.213	1.365	0.938	0.427	71.186	70.269	1.983	0.917	1.813	14.437	18.234	6.142	0.079	4.209
APN	male	10.01	5.688	48.732	2.525	1.615	0.956	0.068	6.598	6.279	44.386	8.327	1.979	3.822	2.389	0.25	11.99	0.933	0.91	3.595	0.683	0.751	119.736	51.894	2.116	0.478	0.023	9.009	0.046	17.086	0.102	5.301
APP	male	60.718	9.81	12.034	2.65	4.021	4.296	0.366	15.476	7.951	37.655	9.475	1.066	2.803	6.428	0.091	15.324	0.579	1.432	3.9	0.853	0.792	122.014	35.645	1.615	0.305	0	8.134	0.457	6.672	0.111	4.911
APR	female	61.333	9.152	27.848	2.856	3.807	20.965	9.152	40.246	8.933	8.908	9.494	0.928	2.099	2.685	0.439	10.739	0.732	0.537	1.123	0.561	0.732	85.837	53.157	1.66	0.561	0.683	12.96	8.567	10.69	0.127	4.406
APS	male	8.934	6.027	51.014	2.483	3.777	3.119	0.637	17.231	6.748	35.354	9.974	1.188	1.146	2.97	0.149	12.987	0.828	1.613	3.289	1.231	0.403	122.4	44.966	2.165	0.467	0.127	6.685	0.785	11.204	0.125	5.119
APT	female	27.159	2.241	41.609	4.817	8.417	0.668	4.483	7.487	6.557	11.374	6.82	1.336	3.076	0.883	0.072	4.364	0.382	0.238	1.955	0.453	0.072	147.599	34.98	0.835	0.095	0.906	3.052	0.072	6.343	0.119	4.579
APU	female	69.029	7.505	23.91	5.423	5.285	12.813	11.989	53.425	8.328	10.594	10.937	0.71	1.35	2.974	0.686	12.744	0.869	0.549	2.174	0.572	0.778	90.148	55.324	1.647	1.007	1.327	9.244	13.911	4.873	0.119	4.43
APV	male	3.85	1.653	61.519	1.407	1.555	0.074	0.049	6.367	5.157	37.533	17.57	4.935	2.073	1.234	0.099	13.523	1.703	0.444	2.27	0.271	0.568	106.702	53.549	1.752	0.271	0.074	21.345	0.025	13.622	0.094	5.197
APW	female	65.061	6.697	27.926	4.958	5.302	18.396	15.777	57.978	9.745	3.928	11.634	0.601	1.889	1.588	0.58	13.051	0.751	0.472	0.472	0.129	0.129	75.88	60.425	1.481	0.944	2.082	14.059	14.382	6.289	0.079	4.157
AR0	male	43.171	4.964	15.878	4.505	3.937	1.925	0.481	8.704	6.408	36.698	7.326	1.203	2.187	1.269	0.044	8.376	0.634	0.831	2.537	0.569	0.241	121.64	38.25	1.968	0.503	0.153	3.805	0.197	11.241	0.134	5.07
AR2	male	65.301	10.042	32.016	3.3	5.67	23.384	11.735	46.261	11.735	6.488	14.33	0.508	2.313	5.642	0.959	14.217	0.31	1.072	1.495	0.846	1.975	91.901	79.293	1.918	1.269	0.733	11.255	12.637	5.557	0.082	4.048
AR3	male	44.307	12.068	36.18	3.819	6.952	48.151	10.208	21.15	10.722	14.516	12.313	0.734	2.301	3.991	0.514	19.559	0.979	1.346	0.906	0.367	0.294	94.392	71.504	2.986	0.734	0.808	16.01	5.092	4.308	0.085	4.345
AR4	female	38.492	3.992	17.321	2.851	7.77	1.212	0	13.828	4.633	22.453	9.195	3.422	1.069	2.21	0	9.195	0.713	0.855	1.14	0.071	0.071	144.059	46.903	1.212	0.356	0.214	2.567	0	8.055	0.181	4.932
AR5	male	24.818	6.537	51.036	1.832	4.238	5.495	5.208	15.085	7.435	13.612	8.297	2.155	1.58	2.837	0.287	13.576	0.934	0.862	2.047	0.072	0.646	94.817	54.735	2.981	0.287	0.144	12.248	0.395	10.128	0.125	4.574
AR8	male	70.15	10.919	10.619	6.311	4.283	6.637	1.402	31.23	5.785	16.68	12.497	1.577	2.254	5.685	0.175	21.288	0.576	0.977	3.03	0.651	0.15	114.804	55.398	2.179	0.401	0.075	8.265	0.651	5.535	0.105	4.582
ARC	male	51.769	6.994	9.827	2.256	4.287	8.9	0.451	13.337	6.969	31.086	8.273	1.379	1.68	3.058	0.1	12.585	0.552	0.627	1.705	0.627	0.401	128.958	46.68	1.98	0.351	0.276	10.63	0.201	9.702	0.108	4.923
ARF	male	57.465	7.582	21.382	1.243	5.437	1.292	0.024	12.312	10.118	24.551	9.923	2.414	1.341	4.17	0.414	13.702	0.219	0.683	5.022	0.78	1.268	119.368	47.445	1.999	0.61	0.195	7.485	0.098	8.533	0.108	5.193
ARG	male	18.434	5.078	68.81	2.564	3.326	46.618	5.586	21.227	8.379	24.147	10.283	1.117	1.143	5.281	0.635	16.657	1.447	1.498	1.27	0.305	1.777	113.803	48.192	2.158	0.152	0.279	11.655	0.559	10.131	0.089	4.438
ARH	male	12.965	6.317	52.318	2.403	3.997	0.352	0.331	10.708	10.377	29.017	8.512	2.486	6.048	3.624	0.166	12.22	1.429	1.471	2.423	0.394	1.305	118.056	49.936	2.361	0.373	0.083	16.653	0.29	8.471	0.093	4.927
ARK	male	67.83	9.287	38.088	6.464	5.22	29.074	14.568	43.156	8.862	9.985	12.595	0.516	1.123	1.639	0.85	11.29	0.091	0.273	1.396	0.061	0.546	82.519	57.481	1.396	0.91	0.85	10.805	20.455	2.853	0.098	4.32
ARM	male	26.101	4.482	54.574	4.306	6.24	10.897	9.667	11.688	10.985	9.14	12.655	0.967	1.846	0.615	0.527	12.391	0.967	0.352	1.582	0.088	0.615	84.278	69.25	1.142	0.879	0.527	6.239	12.391	5.976	0.191	4.363
ARP	male	42.114	4.361	30.007	4.426	6.574	7.095	5.142	14.646	7.095	12.237	9.048	1.432	2.083	1.497	0.195	9.438	0.325	0.521	2.734	0.781	0.976	96.205	52.138	1.953	0.846	0.195	6.184	8.136	11.196	0.186	4.648
ARR	male	13.835	5.88	61.512	2.368	3.592	14.527	2.235	12.265	13.329	18.996	11.041	0.745	2.395	4.496	0.559	15.405	2.528	1.809	0.639	0.319	1.437	105.704	59.224	3.06	0.585	0.372	16.894	2.581	5.64	0.095	4.641
ARS	male	4.598	3.28	52.428	3.617	4.205	3.953	8.018	7.878	8.663	18.42	13.205	2.832	1.43	1.682	0.336	17.495	0.785	0.364	1.766	0.168	0.168	100.202	55.68	2.075	0.505	0.168	21.42	0.14	16.822	0.103	4.74
ART	male	46.222	6.316	36.467	4.045	5.927	11.745	3.007	20.462	10.534	16.482	10.555	1.276	1.579	3.179	0.389	14.211	0.671	1.298	2.314	0.519	0.671	93.505	62.964	2.228	0.865	0.584	8.652	9.777	5.689	0.113	4.696
ARW	female	26.072	9.575	44.105	3.043	3.852	13.231	2.233	19.372	7.09	22.638	10.524	1.2	1.144	3.685	0.279	15.353	1.144	1.424	2.596	0.447	0.642	109.954	44.049	1.982	0.279	0.419	7.426	2.764	11.556	0.145	4.738
ARX	male	29.081	11.541	44.278	2.8	5.485	6.799	0.628	13.598	8.513	20.054	7.713	1.542	3.428	3.6	0.229	11.027	2.857	1.771	3.542	0.8	1.257	118.665	54.048	2.342	0.571	0.286	11.77	0.286	5.428	0.143	4.788
AS1	male	9.099	4.376	63.553	4.028	2.744	1.736	15.107	9.932	11.078	25.838	10.905	1.805	2.882	3.403	0.347	15.142	0.313	0.729	2.431	0.347	0.451	91.752	50.842	2.118	0.451	0.347	20.871	1.146	17.85	0.108	4.708
AS3	female	26.679	5.538	47.583	6.976	2.875	26.655	13.905	12.373	10.181	8.956	18.736	0.566	2.663	2.852	0.495	17.204	2.522	1.39	1.32	0.236	0.495	106.314	62.996	2.805	0.283	0.377	14.447	9.804	6.387	0.126	4.389
AS4	male	34.996	8.502	32.03	4.915	4.632	3.672	0.819	14.32	6.016	16.806	11.242	2.203	1.102	2.401	0.424	13.473	0.113	0.706	2.909	1.384	0.311	127.161	50.107	1.779	0.198	0.282	6.976	0.508	8.389	0.146	4.832
AS5	female	44.952	6.73	14.349	3.048	7.238	6.349	0.889	38.73	5.714	25.778	8.762	1.778	0.381	3.048	0.254	11.81	0.127	0.381	3.048	0.635	0.254	136.381	46.476	1.778	0.381	0.254	2.54	0.127	8.762	0.232	4.785
AS7	male	46.071	6.153	29.029	5.765	4.918	24.156	3.866	15.853	4.644	9.836	15.121	1.487	1.647	1.922	0.458	11.392	0.801	0.549	0.755	0.092	0.938	104.472	56.342	1.67	0.663	0.572	5.01	1.556	7.274	0.122	4.606
ASA	male	75.252	9.74	28.386	3.405	4.12	39.127	5.882	34.34	16.503	5.358	10.645	0.381	1.977	1.643	0.667	14.265	0.524	0.429	0.833	0.143	2.191	87.922	63.679	1.953	0.524	1.405	9.406	19.408	4.096	0.071	3.939
ASB	male	33.033	9.426	32.683	1.873	3.252	3.19	0.309	12.925	9.241	34.823	8.315	1.831	2.984	6.916	0.37	18.873	0.988	2.305	2.696	1.008	0.988	122.273	43.612	2.14	0.288	0.082	11.938	0.082	6.792	0.09	4.856
ASC	male	59.654	9.199	22.037	2.691	6.534	8.712	3.587	41.691	7.79	12.787	11.147	0.948	1.461	4.766	0.589	14.965	0.743	0.974	1.179	0.999	1.307	104.113	58.706	2.434	0.641	0.487	9.046	2.434	7.482	0.115	4.529
ASD	male	19.849	5.355	59.978	3.416	4.431	22.342	14.033	15.479	9.478	9.786	12.371	0.339	1.446	1.97	0.4	10.679	1.016	0.462	1.477	0.246	0.708	85.829	56.655	2.123	0.892	0.923	8.464	13.51	7.17	0.164	4.518
ASE	female	68.291	9.597	21.263	4.682	5.251	16.814	7.165	40.819	9.597	9.183	11.666	0.828	1.94	2.613	0.466	12.83	0.466	0.983	2.664	0.414	0.129	83.605	59.056	1.552	0.388	1.268	10.762	9.545	5.096	0.111	4.403
ASF	male	45.259	6.93	22.184	1.761	6.038	3.179	0.16	13.768	9.079	22.504	8.004	2.287	1.898	4.048	0.252	10.429	1.944	1.418	1.418	0.297	1.189	135.503	45.854	2.264	0.183	0.137	6.107	0.046	7.044	0.113	4.815
ASJ	female	48.381	5.497	24.273	6.259	5.431	2.351	1.258	21.227	5.696	14.372	10.464	0.761	2.881	2.815	0.464	14.008	0.265	0.563	2.914	0.662	0.563	114.577	39.672	1.689	0.397	0.099	5.563	0.795	11.921	0.158	4.85
ASK	male	15.109	5.353	59.052	1.736	3.204	11.823	2.253	16.535	12.257	30.508	11.037	1.137	3.245	8.433	0.165	19.284	0.393	2.253	3.906	0.682	0.951	98.2	52.81	2.687	0.186	0.434	22.426	3.121	7.896	0.074	4.715
ASL	male	11.576	3.002	66.89	2.167	6.036	4.302	0.495	10.122	8.357	30.086	10.184	1.764	4.426	3.064	0.929	10.184	3.776	1.083	2.848	0.495	1.052	113.195	53.363	2.941	0.898	0.124	14.857	0.031	6.531	0.079	4.768
ASN	male	80.537	12.271	24.154	4.562	5.771	30.837	9.602	46.917	12.454	8.622	7.641	0.548	3.102	4.904	0.821	14.438	1.14	0.981	1.483	0.684	1.163	80.971	73.877	2.623	1.209	2.486	11.107	10.697	4.63	0.078	4.156
ASR	male	27.179	5.247	42.289	7.116	3.986	1.982	0.225	10.268	9.953	18.172	11.867	1.734	2.95	3.445	0.203	10.246	1.374	1.126	2.319	0.135	0.833	116.485	75.12	3.648	1.441	0.135	8.939	2.117	6.981	0.098	4.74
ASS	male	73.549	7.972	22.635	3.315	3.671	10.468	8.769	49.76	12.713	6.986	10.09	0.546	2.014	2.14	0.441	13.95	1.552	0.818	1.028	0.378	0.566	85.527	63.27	2.035	1.364	1.133	11.559	9.986	6.189	0.098	4.351
ASU	male	10.325	4.425	51.09	14.951	4.861	3.956	0.134	4.794	6.202	13.51	16.46	1.576	2.917	0.738	0.134	9.118	2.481	0.469	1.743	0.369	0.168	137.814	51.492	2.112	0.335	0.268	7.241	0.101	8.75	0.114	4.674
ASV	male	69.74	9.973	28.167	5.956	4.064	26.088	9.085	30.433	13.009	8.268	12.986	0.397	2.663	2.055	0.49	12.846	1.308	0.584	1.331	0.444	0.257	92.933	55.563	2.289	0.631	0.771	8.899	13.383	6.026	0.124	4.299
ASY	female	16.905	5.56	40.5	2.192	2.554	7.978	0.362	16.385	10.509	33.923	8.475	1.943	4.204	4.972	0.429	21.968	2.192	1.379	1.853	0.384	0.927	114.426	56.094	2.689	0.52	0.181	22.668	0.249	9.515	0.08	4.825
AT1	male	58.45	7.52	43.642	2.837	5.052	20.829	2.768	39.582	16.216	11.164	10.841	0.899	1.684	2.698	0.438	14.924	1.269	0.9	1.176	0.185	2.445	88.644	60.342	2.053	0.9	0	8.742	7.151	5.121	0.103	4.443
AT3	male	76.188	12.958	17.054	6.969	4.252	51.854	5.054	14.672	11.622	7.481	14.873	0.601	3.985	2.583	0.334	15.162	0.601	0.557	0.846	0.312	0.557	93.31	56.195	3.006	1.113	0.534	9.996	6.679	7.792	0.097	4.201
AT4	female	68.813	8.717	33.304	3.843	4.127	15.976	16.243	46.326	13.521	6.173	14.802	0.445	1.477	2.259	0.498	14.464	0.587	0.445	0.516	0.445	0.729	72.318	63.441	2.028	0.285	1.37	12.4	21.775	4.252	0.077	4.185
AT6	male	3.216	2.542	71.895	6.484	3.242	2.957	23.654	5.006	11.023	13.876	25.625	1.53	2.179	1.634	1.089	19.815	1.556	0.856	1.452	0.259	0.622	97.961	72.648	3.398	0.285	0.078	16.832	1.375	6.562	0.073	4.376
AT7	female	57.73	11.129	44.37	4.145	8.5	23.416	22.532	58.529	12.329	4.102	10.666	0.673	2.756	1.788	0.442	9.53	0.926	0.505	0.799	0.231	1.241	71.068	67.66	2.293	0.673	3.787	15.611	27.224	3.534	0.063	3.93
AT8	male	12.24	7.307	41.682	4.934	2.022	0.108	0	1.186	4.071	33.998	9.194	1.402	2.049	2.454	0.027	12.834	0.162	0.62	1.968	0.458	0.62	131.626	40.901	2.912	0.782	0.054	14.397	0.162	8.196	0.095	4.867
ATE	male	76.006	7.621	28.513	3.157	6.749	14.703	8.369	52.166	12.356	5.462	8.93	0.581	2.305	1.766	0.374	11.816	0.831	0.415	1.059	0.249	0.581	77.564	62.259	2.181	0.519	1.038	9.615	16.177	5.69	0.088	4.123
ATG	male	22.975	7.32	34.103	2.031	2.454	0.889	0	9.309	6.22	32.157	6.516	1.566	3.935	4.951	0.127	11.763	1.185	1.142	1.015	0.254	0.677	137.218	42.566	3.131	0.508	0	7.954	0.085	8.716	0.105	4.965
AYJ	male	3.865	3.468	72.699	2.647	2.965	3.124	28.99	8.578	10.087	37.223	21.577	1.747	3.203	4.765	0.953	25.019	1.483	1.853	2.436	1.377	0.98	88.452	66.504	3.177	0.556	0.053	22.212	1.588	11.331	0.081	4.872
AYK	female	7.763	6.182	77.399	3.044	4.531	15.291	39.266	13.781	12.483	15.055	13.545	0.614	2.808	6.961	1.038	26.877	0.071	0.944	4.035	0.614	1.628	87.215	65.624	2.36	0.401	0.708	21.756	2.572	10.218	0.079	4.367
B02	male	9.931	6.839	41.597	2.498	1.487	0.505	0	3.598	4.252	39.159	10.853	1.487	1.665	2.736	0.208	9.961	0.149	0.446	1.338	0.149	1.338	131.66	40.943	2.498	0.565	0.089	10.704	0.089	12.31	0.092	5.174
